,,,,,Estimated Effort Remaining,,,,,,,,,,,,,,,,,,
,,2. AccountEditViewModel + gate passwordVerified,Giacomo,2,2,2,2,2,2,2,1,1,,,,,,,,,,,DONE
,,3. AccountEditScreen hub + navigazione sotto-schermate,Giacomo,2,2,2,2,2,2,2,2,1,1,,,,,,,,,,DONE
,,4. Edit PersonalInfo / Experience / Preferences / Goals,Giacomo,4,4,4,4,4,4,4,4,4,3,2,2,1,,,,,,,DONE
,,5. Flusso cambio password (schermata dedicata),Giacomo,2,2,2,2,2,2,2,2,2,2,2,1,1,,,,,,,DONE
,,6. DeleteAccountScreen + conferma password (GDPR),Giacomo,2,2,2,2,2,2,2,2,2,2,2,1,1,,,,,,,DONE
,,7. PATCH email con re-verifica (se previsto),Giacomo,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,DONE
,,8. Testing account + password errata,Marco,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,DONE
,,9. Documentazione SECURITY / account,Giacomo,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,DONE
,,10. Deploy,Federico,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,DONE
55,"Come utente, voglio un'interfaccia coerente (palette, tipografia, icone) in tutta l'app, così da avere un'esperienza professionale e leggibile.",1. Nuova palette + Theme.kt Material 3,Giacomo,4,4,4,4,4,4,4,4,4,4,4,3,1,,,,,,,DONE
,,2. Logo e asset launcher / icona app,Giacomo,2,2,2,2,2,2,2,2,2,2,2,2,1,,,,,,,DONE
,,"3. Rifinitura Social + Home (card, effetti)",Giacomo,3,3,3,3,3,3,3,3,3,3,3,2,1,,,,,,,DONE
,,4. Skeleton UI + Refuge Dashboard polish,Giacomo,2,2,2,2,2,2,2,2,2,2,2,2,1,,,,,,,DONE
,,5. Allineamento sessione/registra/checklist al theme,Federico,3,3,3,3,3,3,3,3,3,3,3,2,1,,,,,,,DONE
,,6. Dettagli icona e fix visivi minori,Federico,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,DONE
,,7. Testing regressione visiva smoke,Giacomo,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,DONE
,,8. Deploy,Federico,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,DONE
56,"Come sistema, voglio correggere i bug emersi in Sprint 1 e durante Sprint 2, così da garantire stabilità in demo e su Render.",1. Merge conflict Render + fix deploy backend,Giacomo,3,3,2,1,,,,,,,,,,,,,,,,DONE
,,2. Bug hunt security / validation / ownership (22/05),Giacomo,4,4,4,3,1,,,,,,,,,,,,,,,DONE
,,3. Fix weather auth + Jest setup route (Marco),Marco,3,3,3,3,2,1,,,,,,,,,,,,,,DONE
,,4. Test integrazione checklist/sentieri/admin,Marco,2,2,2,2,2,2,2,2,2,2,2,1,,,,,,,,DONE
,,5. Swagger / email / path normalize,Giacomo,2,2,1,,,,,,,,,,,,,,,,,DONE
,,6. Dialog attività corta + Registra dialog 3 opzioni,Giacomo,2,2,2,2,1,,,,,,,,,,,,,,,DONE
,,7. AVVIA tab switch + date format + merge sentieri,Federico,3,3,3,3,3,3,2,2,1,,,,,,,,,,,DONE
,,8. Polyline visibility + activity/social/checklist fixes,Federico,4,4,4,4,4,4,4,4,4,3,2,2,1,,,,,,,DONE
,,9. Minor bugs join/storie/icona (03-04/06),Giacomo,2,2,2,2,2,2,2,2,2,2,2,2,1,,,,,,,DONE
,,10. Testing regressione + documentazione TSM_PROJECT_STATE,Giacomo,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,DONE
,,11. Deploy,Federico,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,DONE
,,,TOTALE :,409,404,380,363,352,338,314,276,222,175,145,117,83,20,20,20,20,20,20,
