,,,,,Estimated Effort Remaining,,,,,,,,,,,,,,,,,,
,,5. Documentazione,Giacomo,1,1,,,,,,,,,,,,,,,,,,DONE
,,6. Deploy,Federico,1,1,,,,,,,,,,,,,,,,,,DONE
42,Come sistema voglio mantenere attivo tracciamento GPS tramite Foreground Services cosi da evitare che Android interrompa i processi (Doze Mode),1. Implementazione Android Foreground Service con notifica persistente.,Federico,0,,,,,,,,,,,,,,,,,,,DONE
,,2. Richiesta permessi a runtime (Location).,Federico,0,,,,,,,,,,,,,,,,,,,DONE
,,3. Configurazione WakeLock e ottimizzazione Doze Mode.,Federico,0,,,,,,,,,,,,,,,,,,,DONE
,,4. Test del ciclo di vita del servizio in background.,Federico,3,3,1,,,,,,,,,,,,,,,,,DONE
,,5. Documentazione,Federico,1,1,1,,,,,,,,,,,,,,,,,DONE
,,6. Deploy,Federico,1,1,1,,,,,,,,,,,,,,,,,DONE
11,Come escursionista in difficoltà voglio poter inviare un segnale SOS con le mie coordinate GPS cosi da ricevere soccorso il prima possibile.,1. UI pulsante SOS (dialog conferma in RegistraScreen).,Giacomo,0,,,,,,,,,,,,,,,,,,,DONE
,,2. Beacon BLE TSM + POST HTTPS,Federico,3,3,3,3,3,3,2,,,,,,,,,,,,,DONE
,,3. Endpoint POST /api/v1/emergencies backend.,Federico,2,2,2,2,2,2,,,,,,,,,,,,,,DONE
,,4. Dialog attivazione Bluetooth / invio senza beacon,Federico,2,2,2,2,2,2,2,,,,,,,,,,,,,DONE
,,5. Gestione accodamento invio in assenza di rete.,Federico,1,1,1,1,1,1,1,,,,,,,,,,,,,DONE
,,6. Testing,Federico,1,1,1,1,1,1,1,1,,,,,,,,,,,,DONE
,,7. Documentazione,Federico,1,1,1,1,1,1,1,1,,,,,,,,,,,,DONE
,,8. Deploy,Federico,1,1,1,1,1,1,1,1,,,,,,,,,,,,DONE
2,"Come utente già autenticato, voglio poter accedere all'app anche senza connessione internet, cosi da usare le funzionalità anche in montagna.",1. Caching stato autenticazione e token validi in EncryptedSharedPreferences.,Federico,0,,,,,,,,,,,,,,,,,,,DONE
,,2. Ripristino sessione JWT all'avvio app (AuthSession).,Federico,0,,,,,,,,,,,,,,,,,,,DONE
,,3. Interceptor HTTP e gestione errori offline.,Federico,1,2,2,2,2,,,,,,,,,,,,,,,DONE
