,,,,,Estimated Effort Remaining,,,,,,,STATUS
7,"Come escursionista voglio ricevere una checklist dell'equipaggiamento necessaria basata sull'itinerario e sulle condizioni meteo (durante i giorni precedenti alla partenza), cosi da prepararmi adeguatamente",1. Integrazione API meteo TINIA/meteo.report con persistenza MongoDB.,Marco,4,4,2,,,,,,DONE
,,2. Modello Location GeoJSON e endpoint forecast 3h/24h.,Marco,3,3,3,3,,,,,DONE
,,3. Integrazione meteo reale in SessionDetailScreen.,Giacomo,2,2,2,2,2,1,,,IN PROGRESS
,,4. Sviluppo UI checklist con drag-and-drop e spunta.,Giacomo,2,2,2,2,2,2,1,,IN PROGRESS
,,5. Sviluppo algoritmo di mappatura meteo/altitudine -> equipaggiamento.,,4,,,,,,,,TO DO
,,6. Testing API,Marco,1,1,1,1,1,,,,IN PROGRESS
,,7. Documentazione,,1,,,,,,,,TO DO
,,8. Deploy,Marco,1,1,1,1,1,1,,,IN PROGRESS
19,"Come Capogruppo, voglio poter generare un codice invito alfanumerico e un QR Code per gruppo, cosi da permettere ai partecipanti di unirsi facilmente",1. Endpoint generazione hash invito univoco (TSM-XXXX).,Giacomo,2,2,2,,,,,,DONE
,,2. Integrazione libreria generazione QR Code a schermo (ZXing).,Giacomo,2,2,2,2,,,,,DONE
,,3. UI InviteCodeCard con copia negli appunti.,Giacomo,1,1,1,1,1,,,,DONE
,,4. Sviluppo logica per lettura QR tramite fotocamera.,,4,,,,,,,,TO DO
,,5. Testing,Giacomo,1,1,,,,,,,DONE
,,6. Documentazione,Giacomo,1,,,,,,,,DONE
,,7. Deploy,Federico,1,,,,,,,,DONE
9,"Come escursionista, voglio poter unirmi a un'escursione di gruppo inserendo il codice invito fornito dal Capogruppo, cosi da partecipare all'escursione in modo coordinato",1. UI input codice invito (OTP boxes tab UNISCITI).,Giacomo,2,2,2,2,2,,,,DONE
,,2. Validazione codice lato server e join tabella Partecipanti.,Marco,2,2,2,2,2,,,,DONE
,,3. Lista sessioni utente con leave/delete (creator vs partecipante).,Giacomo,2,2,2,2,2,2,,,DONE
,,4. Download configurazione e mappa sessione in dettaglio.,Federico,2,2,2,2,2,2,1,,IN PROGRESS
,,5. Testing,Giacomo,1,1,1,1,1,1,,,IN PROGRESS
,,6. Documentazione,Giacomo,1,1,1,1,1,1,1,,IN PROGRESS
,,7. Deploy,Federico,1,,,,,,,,IN PROGRESS
12,"Come escursionista, voglio poter consultare una mappa offline con la mia posizione e una bussola cosi da orientarmi anche senza copertura internet",1. Integrazione OSMDroid per rendering mappa e marker utente.,Federico,5,5,5,5,5,3,,,DONE
,,2. UserLocationTracker e indicatore segnale GPS.,Federico,2,2,2,2,2,2,,,DONE
,,3. Centratura mappa e lifecycle TsmMapView.,Federico,2,2,2,2,2,2,1,,IN PROGRESS
,,4. Lettura SensorManager (Magnetometro/Accelerometro) per bussola.,Federico,4,4,4,4,4,4,,,IN PROGRESS
,,5. Binding sensori-UI per rotazione mappa.,,3,,,,,,,,TO DO
,,6. Download e cache Map Tiles OSM offline.,,4,,,,,,,,TO DO
,,7. Testing,Federico,1,1,1,1,1,1,1,,IN PROGRESS
,,8. Documentazione,Federico,1,1,1,1,1,1,1,,IN PROGRESS
,,9. Deploy,Federico,1,1,1,1,1,1,1,,IN PROGRESS
10,"voglio che la mia posizione GPS venga tracciata automaticamente in background durante l'escursione, cosi da garantire la mia sicurezza e quella del gruppo",1. Integrazione FusedLocationProviderClient.,Federico,4,4,4,4,4,2,,,DONE
,,2. HikeTrackingEngine e visualizzazione traccia su mappa.,Federico,3,3,3,3,3,3,,,DONE
,,3. Sviluppo logica di caching locale offline (Room/SQLite telemetria).,Federico,3,3,3,3,3,3,2,,IN PROGRESS
,,4. Worker periodico per invio batch coordinate al server.,,3,,,,,,,,TO DO
,,5. Testing,Federico,1,1,1,1,1,1,1,,IN PROGRESS
,,6. Documentazione,,1,,,,,,,,TO DO
,,7. Deploy,,1,,,,,,,,TO DO
13,"escursionista, voglio che il tracciamento GPS si riduca automaticamente quando sono fermo, cosi da risparmiare la batteria del dispositivo",1. StationaryDetector e logica auto-pause.,Federico,3,3,3,3,3,3,,,DONE
,,2. UI notifiche e metriche durante auto-pausa.,Federico,2,2,2,2,2,2,2,,DONE
,,3. Integrazione Activity Recognition API.,Federico,3,3,3,3,3,3,2,,IN PROGRESS
,,4. Profilazione consumo batteria (Android Profiler).,,2,,,,,,,,TO DO
,,5. Testing,Federico,1,1,1,1,1,1,1,,IN PROGRESS
,,6. Documentazione,,1,,,,,,,,TO DO
,,7. Deploy,,1,,,,,,,,TO DO
42,Come sistema voglio mantenere attivo tracciamento GPS tramite Foreground Services cosi da evitare che Android interrompa i processi (Doze Mode),1. Implementazione Android Foreground Service con notifica persistente.,Federico,4,4,4,4,4,4,2,,DONE
,,2. Richiesta permessi a runtime (Location).,Federico,2,2,2,2,2,2,,,DONE
,,3. Configurazione WakeLock e ottimizzazione Doze Mode.,Federico,3,3,3,3,3,3,2,,IN PROGRESS
,,4. Test del ciclo di vita del servizio in background.,,3,,,,,,,,TO DO
,,5. Documentazione,,1,,,,,,,,TO DO
,,6. Deploy,,1,,,,,,,,TO DO
11,Come escursionista in difficoltà voglio poter inviare un segnale SOS con le mie coordinate GPS cosi da ricevere soccorso il prima possibile.,1. UI pulsante SOS (dialog conferma in RegistraScreen).,Giacomo,2,2,2,2,2,2,1,,IN PROGRESS
,,2. Sviluppo logica di invio payload BLE e HTTP/MQTT.,,3,,,,,,,,TO DO
,,3. Endpoint POST /api/v1/emergencies backend.,,2,,,,,,,,TO DO
,,4. Gestione accodamento invio in assenza di rete.,,1,,,,,,,,TO DO
,,5. Testing,,1,,,,,,,,TO DO
,,6. Documentazione,,1,,,,,,,,TO DO
,,7. Deploy,,1,,,,,,,,TO DO
34,"Come sistema voglio che le query geospaziali vengano elaborate in meno di 500 ms al 95 percentile (condizioni 4G), cosi da garantire un'esperienza utente fluida",1. Creazione indici spaziali MongoDB (sessions/locations).,Marco,3,3,2,,,,,,IN PROGRESS
,,2. Ottimizzazione query di prossimità.,,4,,,,,,,,TO DO
,,3. Load testing e profiling DB.,,3,,,,,,,,TO DO
,,4. Testing,,1,,,,,,,,TO DO
,,5. Documentazione,,1,,,,,,,,TO DO
,,6. Deploy,,1,,,,,,,,TO DO
—,"Setup progetto e infrastruttura condivisa (monorepo, CI, documentazione)","1. Setup monorepo, GitFlow e documentazione iniziale.",Giacomo,3,3,2,,,,,,DONE
,,2. Docker Compose MongoDB e Mosquitto.,Giacomo,2,2,2,,,,,,DONE
,,3. Boilerplate backend Express e struttura mobile MVVM.,Giacomo,2,2,2,2,,,,,DONE
,,"4. Bottom navigation app (Sessione, Mappa, Profilo).",Federico,2,2,2,2,2,,,,DONE
,,5. Setup Swagger e documentazione endpoint API.,Marco,2,2,2,2,2,,,,DONE
,,"6. Ristrutturazione repository backend (app.js, middleware).",Marco,3,3,3,3,3,,,,DONE
,,,TOTALE :,252,199,181,155,124,79,30,,
